fold,train_cutoff,test_end,Model,Variant,threshold,FNR_gap,FPR_gap,Brier_gap,n_groups
1,2010-08,2010-09,Logistic,Structured,0.5,,,,0
1,2010-08,2010-09,Logistic,Structured,0.6,,,,0
1,2010-08,2010-09,Logistic,Structured,0.7,,,,0
1,2010-08,2010-09,Logistic,Structured+Text,0.5,,,,0
1,2010-08,2010-09,Logistic,Structured+Text,0.6,,,,0
1,2010-08,2010-09,Logistic,Structured+Text,0.7,,,,0
1,2010-08,2010-09,XGBoost,Structured,0.5,,,,0
1,2010-08,2010-09,XGBoost,Structured,0.6,,,,0
1,2010-08,2010-09,XGBoost,Structured,0.7,,,,0
1,2010-08,2010-09,XGBoost,Structured+Text,0.5,,,,0
1,2010-08,2010-09,XGBoost,Structured+Text,0.6,,,,0
1,2010-08,2010-09,XGBoost,Structured+Text,0.7,,,,0
2,2010-11,2010-12,Logistic,Structured,0.5,,,,0
2,2010-11,2010-12,Logistic,Structured,0.6,,,,0
2,2010-11,2010-12,Logistic,Structured,0.7,,,,0
2,2010-11,2010-12,Logistic,Structured+Text,0.5,,,,0
2,2010-11,2010-12,Logistic,Structured+Text,0.6,,,,0
2,2010-11,2010-12,Logistic,Structured+Text,0.7,,,,0
2,2010-11,2010-12,XGBoost,Structured,0.5,,,,0
2,2010-11,2010-12,XGBoost,Structured,0.6,,,,0
2,2010-11,2010-12,XGBoost,Structured,0.7,,,,0
2,2010-11,2010-12,XGBoost,Structured+Text,0.5,,,,0
2,2010-11,2010-12,XGBoost,Structured+Text,0.6,,,,0
2,2010-11,2010-12,XGBoost,Structured+Text,0.7,,,,0
3,2011-02,2011-03,Logistic,Structured,0.5,,,,0
3,2011-02,2011-03,Logistic,Structured,0.6,,,,0
3,2011-02,2011-03,Logistic,Structured,0.7,,,,0
3,2011-02,2011-03,Logistic,Structured+Text,0.5,,,,0
3,2011-02,2011-03,Logistic,Structured+Text,0.6,,,,0
3,2011-02,2011-03,Logistic,Structured+Text,0.7,,,,0
3,2011-02,2011-03,XGBoost,Structured,0.5,,,,0
3,2011-02,2011-03,XGBoost,Structured,0.6,,,,0
3,2011-02,2011-03,XGBoost,Structured,0.7,,,,0
3,2011-02,2011-03,XGBoost,Structured+Text,0.5,,,,0
3,2011-02,2011-03,XGBoost,Structured+Text,0.6,,,,0
3,2011-02,2011-03,XGBoost,Structured+Text,0.7,,,,0
4,2011-05,2011-06,Logistic,Structured,0.5,,,,0
4,2011-05,2011-06,Logistic,Structured,0.6,,,,0
4,2011-05,2011-06,Logistic,Structured,0.7,,,,0
4,2011-05,2011-06,Logistic,Structured+Text,0.5,,,,0
4,2011-05,2011-06,Logistic,Structured+Text,0.6,,,,0
4,2011-05,2011-06,Logistic,Structured+Text,0.7,,,,0
4,2011-05,2011-06,XGBoost,Structured,0.5,,,,0
4,2011-05,2011-06,XGBoost,Structured,0.6,,,,0
4,2011-05,2011-06,XGBoost,Structured,0.7,,,,0
4,2011-05,2011-06,XGBoost,Structured+Text,0.5,,,,0
4,2011-05,2011-06,XGBoost,Structured+Text,0.6,,,,0
4,2011-05,2011-06,XGBoost,Structured+Text,0.7,,,,0
5,2011-08,2011-09,Logistic,Structured,0.5,,,,0
5,2011-08,2011-09,Logistic,Structured,0.6,,,,0
5,2011-08,2011-09,Logistic,Structured,0.7,,,,0
5,2011-08,2011-09,Logistic,Structured+Text,0.5,,,,0
5,2011-08,2011-09,Logistic,Structured+Text,0.6,,,,0
5,2011-08,2011-09,Logistic,Structured+Text,0.7,,,,0
5,2011-08,2011-09,XGBoost,Structured,0.5,,,,0
5,2011-08,2011-09,XGBoost,Structured,0.6,,,,0
5,2011-08,2011-09,XGBoost,Structured,0.7,,,,0
5,2011-08,2011-09,XGBoost,Structured+Text,0.5,,,,0
5,2011-08,2011-09,XGBoost,Structured+Text,0.6,,,,0
5,2011-08,2011-09,XGBoost,Structured+Text,0.7,,,,0
6,2011-11,2011-12,Logistic,Structured,0.5,,,,0
6,2011-11,2011-12,Logistic,Structured,0.6,,,,0
6,2011-11,2011-12,Logistic,Structured,0.7,,,,0
6,2011-11,2011-12,Logistic,Structured+Text,0.5,,,,0
6,2011-11,2011-12,Logistic,Structured+Text,0.6,,,,0
6,2011-11,2011-12,Logistic,Structured+Text,0.7,,,,0
6,2011-11,2011-12,XGBoost,Structured,0.5,,,,0
6,2011-11,2011-12,XGBoost,Structured,0.6,,,,0
6,2011-11,2011-12,XGBoost,Structured,0.7,,,,0
6,2011-11,2011-12,XGBoost,Structured+Text,0.5,,,,0
6,2011-11,2011-12,XGBoost,Structured+Text,0.6,,,,0
6,2011-11,2011-12,XGBoost,Structured+Text,0.7,,,,0
7,2012-02,2012-03,Logistic,Structured,0.5,,,,0
7,2012-02,2012-03,Logistic,Structured,0.6,,,,0
7,2012-02,2012-03,Logistic,Structured,0.7,,,,0
7,2012-02,2012-03,Logistic,Structured+Text,0.5,,,,0
7,2012-02,2012-03,Logistic,Structured+Text,0.6,,,,0
7,2012-02,2012-03,Logistic,Structured+Text,0.7,,,,0
7,2012-02,2012-03,XGBoost,Structured,0.5,,,,0
7,2012-02,2012-03,XGBoost,Structured,0.6,,,,0
7,2012-02,2012-03,XGBoost,Structured,0.7,,,,0
7,2012-02,2012-03,XGBoost,Structured+Text,0.5,,,,0
7,2012-02,2012-03,XGBoost,Structured+Text,0.6,,,,0
7,2012-02,2012-03,XGBoost,Structured+Text,0.7,,,,0
8,2012-05,2012-06,Logistic,Structured,0.5,,,,0
8,2012-05,2012-06,Logistic,Structured,0.6,,,,0
8,2012-05,2012-06,Logistic,Structured,0.7,,,,0
8,2012-05,2012-06,Logistic,Structured+Text,0.5,,,,0
8,2012-05,2012-06,Logistic,Structured+Text,0.6,,,,0
8,2012-05,2012-06,Logistic,Structured+Text,0.7,,,,0
8,2012-05,2012-06,XGBoost,Structured,0.5,,,,0
8,2012-05,2012-06,XGBoost,Structured,0.6,,,,0
8,2012-05,2012-06,XGBoost,Structured,0.7,,,,0
8,2012-05,2012-06,XGBoost,Structured+Text,0.5,,,,0
8,2012-05,2012-06,XGBoost,Structured+Text,0.6,,,,0
8,2012-05,2012-06,XGBoost,Structured+Text,0.7,,,,0
9,2012-08,2012-09,Logistic,Structured,0.5,,,,1
9,2012-08,2012-09,Logistic,Structured,0.6,,,,1
9,2012-08,2012-09,Logistic,Structured,0.7,,,,1
9,2012-08,2012-09,Logistic,Structured+Text,0.5,,,,1
9,2012-08,2012-09,Logistic,Structured+Text,0.6,,,,1
9,2012-08,2012-09,Logistic,Structured+Text,0.7,,,,1
9,2012-08,2012-09,XGBoost,Structured,0.5,,,,1
9,2012-08,2012-09,XGBoost,Structured,0.6,,,,1
9,2012-08,2012-09,XGBoost,Structured,0.7,,,,1
9,2012-08,2012-09,XGBoost,Structured+Text,0.5,,,,1
